episode,step	
0,10606	
1,238	
2,234	
3,256	
4,230	
5,254	
6,220	
7,242	
8,214	
9,196	
10,222	
11,226	
12,214	
13,212	
14,206	
15,218	
16,212	
17,188	
18,212	
19,194	
20,196	
21,200	
22,218	
23,192	
24,180	
25,204	
26,196	
27,178	
28,198	
29,204	
30,190	
31,206	
32,190	
33,180	
34,188	
35,204	
36,202	
37,182	
38,194	
39,180	
40,220	
41,172	
42,192	
43,176	
44,180	
45,178	
46,182	
47,186	
48,174	
49,178	
50,190	
51,180	
52,186	
53,184	
54,184	
55,188	
56,184	
57,182	
58,192	
59,178	
60,174	
61,170	
62,180	
63,188	
64,188	
65,194	
66,188	
67,174	
68,184	
69,180	
70,174	
71,178	
72,172	
73,170	
74,188	
75,174	
76,168	
77,192	
78,180	
79,174	
80,180	
81,176	
82,190	
83,178	
84,176	
85,170	
86,174	
87,178	
88,178	
89,164	
90,178	
91,188	
92,172	
93,168	
94,184	
95,164	
96,180	
97,170	
98,180	
99,172	
100,180	
101,172	
102,186	
103,182	
104,174	
105,168	
106,180	
107,172	
108,182	
109,178	
110,168	
111,178	
112,170	
113,164	
114,180	
115,164	
116,196	
117,174	
118,176	
119,188	
120,174	
121,178	
122,176	
123,168	
124,170	
125,184	
126,166	
127,180	
128,164	
129,166	
130,174	
131,180	
132,174	
133,198	
134,178	
135,180	
136,180	
137,182	
138,174	
139,168	
140,170	
141,186	
142,166	
143,180	
144,180	
145,180	
146,168	
147,170	
148,180	
149,162	
150,178	
151,178	
152,168	
153,172	
154,168	
155,166	
156,172	
157,180	
158,178	
159,168	
160,162	
161,166	
162,182	
163,168	
164,180	
165,164	
166,166	
167,172	
168,174	
169,180	
170,180	
171,168	
172,176	
173,194	
174,164	
175,170	
176,172	
177,190	
178,174	
179,174	
180,170	
181,176	
182,182	
183,172	
184,186	
185,180	
186,180	
187,178	
188,172	
189,164	
190,170	
191,170	
192,168	
193,162	
194,152	
195,164	
196,164	
197,166	
198,152	
199,166	
200,172	
201,170	
202,170	
203,172	
204,178	
205,174	
206,164	
207,162	
208,184	
209,156	
210,168	
211,150	
212,156	
213,168	
214,162	
215,150	
216,174	
217,168	
218,160	
219,156	
220,168	
221,160	
222,172	
223,166	
224,174	
225,178	
226,188	
227,168	
228,170	
229,156	
230,172	
231,180	
232,160	
233,166	
234,176	
235,162	
236,156	
237,170	
238,166	
239,154	
240,164	
241,174	
242,158	
243,172	
244,164	
245,158	
246,162	
247,164	
248,162	
249,172	
250,158	
251,162	
252,176	
253,156	
254,174	
255,162	
256,164	
257,166	
258,170	
259,170	
260,156	
261,176	
262,156	
263,182	
264,180	
265,166	
266,156	
267,162	
268,148	
269,148	
270,156	
271,154	
272,152	
273,156	
274,158	
275,150	
276,162	
277,154	
278,162	
279,148	
280,152	
281,152	
282,162	
283,158	
284,164	
285,160	
286,168	
287,166	
288,166	
289,162	
290,164	
291,168	
292,162	
293,156	
294,172	
295,148	
296,154	
297,148	
298,172	
299,174	
300,160	
301,164	
302,162	
303,148	
304,152	
305,154	
306,150	
307,154	
308,154	
309,152	
310,152	
311,164	
312,156	
313,160	
314,150	
315,156	
316,142	
317,156	
318,174	
319,156	
320,152	
321,162	
322,156	
323,162	
324,156	
325,146	
326,148	
327,150	
328,158	
329,150	
330,160	
331,148	
332,154	
333,144	
334,152	
335,140	
336,156	
337,142	
338,146	
339,154	
340,162	
341,148	
342,158	
343,156	
344,152	
345,160	
346,152	
347,146	
348,164	
349,156	
350,148	
351,156	
352,156	
353,150	
354,148	
355,150	
356,156	
357,144	
358,154	
359,160	
360,154	
361,144	
362,136	
363,152	
364,138	
365,144	
366,156	
367,136	
368,148	
369,154	
370,154	
371,146	
372,150	
373,146	
374,164	
375,166	
376,152	
377,154	
378,160	
379,158	
380,148	
381,146	
382,166	
383,140	
384,150	
385,150	
386,162	
387,164	
388,140	
389,154	
390,146	
391,156	
392,142	
393,154	
394,146	
395,144	
396,144	
397,148	
398,146	
399,150	
400,150	
401,152	
402,154	
403,152	
404,142	
405,148	
406,144	
407,148	
408,138	
409,148	
410,148	
411,146	
412,140	
413,144	
414,150	
415,150	
416,152	
417,148	
418,156	
419,142	
420,146	
421,150	
422,146	
423,150	
424,152	
425,140	
426,148	
427,156	
428,148	
429,156	
430,154	
431,158	
432,144	
433,148	
434,150	
435,162	
436,152	
437,146	
438,166	
439,162	
440,158	
441,142	
442,156	
443,148	
444,148	
445,150	
446,154	
447,138	
448,146	
449,142	
450,152	
451,144	
452,152	
453,148	
454,146	
455,140	
456,144	
457,144	
458,144	
459,154	
460,140	
461,148	
462,152	
463,156	
464,158	
465,150	
466,158	
467,152	
468,146	
469,150	
470,148	
471,156	
472,154	
473,146	
474,148	
475,150	
476,140	
477,140	
478,164	
479,140	
480,142	
481,156	
482,152	
483,144	
484,150	
485,146	
486,144	
487,154	
488,170	
489,150	
490,170	
491,152	
492,164	
493,176	
494,154	
495,150	
496,154	
497,164	
498,158	
499,152	
